District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),min_vv,max_vv,range_vv,mean_vv,correlation_vv,permutation_entropy_vv,min_vh,max_vh,range_vh,mean_vh,correlation_vh,permutation_entropy_vh,min_vv_by_vh,max_vv_by_vh,range_vv_by_vh,mean_vv_by_vh,correlation_vv_by_vh,permutation_entropy_vv_by_vh
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,0.01740759052336216,0.35729560256004333,0.3398880120366812,0.11127715278416872,0.621780614854272,0.33396271194589644,0.0026976359076797962,0.05166338384151459,0.04896574793383479,0.021944099072633044,0.04260201914899326,0.33396271194589644,1.1304255811317392,24.872854235409235,23.742428654277496,6.721198816402245,0.34233555255557335,0.33396271194589644
Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,0.053834959864616394,0.2941001057624817,0.2402651458978653,0.16643636460815156,0.18690517190651973,0.33396271194589644,0.016737302765250206,0.07251173257827759,0.05577442981302738,0.03823186417243311,0.20143261236386684,0.33396271194589644,1.5802501604900263,7.805156542854241,6.224906382364215,4.583482980044935,-0.21212554496856917,0.31055082177366533
Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,0.01693592593073845,0.6278784275054932,0.6109425015747547,0.2144481394706028,0.2004316566034608,0.33396271194589644,0.008218871429562569,0.11418552696704865,0.10596665553748608,0.03638993616082838,0.02616588779126558,0.33396271194589644,0.9946161638912477,46.363490042885246,45.368873878994,9.063072994031547,0.1715312505639889,0.33396271194589644
Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,0.023625051602721214,0.33549439907073975,0.31186934746801853,0.11667492440236467,0.21943233792179045,0.33396271194589644,0.0017723768251016736,0.08256546407938004,0.08079308725427836,0.025339082656760832,0.1924892891931175,0.33396271194589644,1.6640364143061817,28.34908658266999,26.68505016836381,7.416280166268003,0.5024445842780553,0.33396271194589644
Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,0.05338998883962631,0.8596712946891785,0.8062813058495522,0.16989234876301554,-0.0020479060008276946,0.38985429721536513,0.0074824383482337,0.09816139191389084,0.09067895356565714,0.03323761404802402,-0.03925678942304967,0.38985429721536513,1.338847431689928,29.232962581131726,27.8941151494418,6.989110175684375,0.5205910921830612,0.38985429721536513
Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,0.030193371698260307,0.44499799609184265,0.41480462439358234,0.12575312876807793,0.021487066798834636,0.33396271194589644,0.001753757824189961,0.07069434970617294,0.06894059188198298,0.03065063964874883,0.26846332233730824,0.33396271194589644,0.7395493687666171,18.40282860588005,17.663279237113432,5.540485062142501,0.2557883893340522,0.33396271194589644
Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,0.017352566123008728,0.4074212312698364,0.3900686651468277,0.09004801458546094,0.26846911990144606,0.33396271194589644,0.0038871322758495808,0.06806807965040207,0.06418094737455249,0.02111978519574872,0.16192304971106639,0.33396271194589644,0.7437216546612689,11.320435033236334,10.576713378575066,5.013300306646883,0.04795582147035108,0.33396271194589644
Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,0.016832835972309113,0.31861332058906555,0.30178048461675644,0.10545347537845373,-0.07479600945726152,0.33396271194589644,0.0024901714641600847,0.0848756730556488,0.08238550159148872,0.023554696518528675,0.04379328339851938,0.33396271194589644,0.8072840931530606,88.59848951001874,87.79120541686568,11.613800482141594,0.15967071915081127,0.33396271194589644
Chau_Phu,10.492098,105.216926,SA,T,15-07-2022,3.0,5500,0.009551705792546272,1.287698745727539,1.2781470399349928,0.173873694746622,-0.09534436937922237,0.33396271194589644,0.0030831526964902878,0.1054171621799469,0.10233400948345661,0.029299701929890683,0.18960981831766086,0.33396271194589644,1.197659503938792,22.801800278351624,21.604140774412834,5.251627076454463,0.05673042715129083,0.33396271194589644
Chau_Phu,10.485917,105.210104,SA,T,15-07-2022,5.0,6000,0.012128407135605812,0.29366618394851685,0.28153777681291103,0.09181339506592069,-0.1628476378100838,0.33396271194589644,0.00420801155269146,0.09270153939723969,0.08849352784454823,0.0280762240623257,-0.16983514318248377,0.33396271194589644,1.0696262336817608,22.090042719893965,21.020416486212206,4.371803591543166,-0.14109276457751105,0.33396271194589644
