District,Latitude,Longitude,"Season(SA = Summer Autumn, WS = Winter Spring)","Rice Crop Intensity(D=Double, T=Triple)",Date of Harvest,Field size (ha),Rice Yield (kg/ha),min_vv,max_vv,range_vv,mean_vv,correlation_vv,permutation_entropy_vv,min_vh,max_vh,range_vh,mean_vh,correlation_vh,permutation_entropy_vh,min_vv_by_vh,max_vv_by_vh,range_vv_by_vh,mean_vv_by_vh,correlation_vv_by_vh,permutation_entropy_vv_by_vh,NDVI_mean,NDVI_max,NDVI_min,NDVI_std
Chau_Phu,10.510542,105.248554,SA,T,15-07-2022,3.4,5500,0.0174075905233621,0.3572956025600433,0.3398880120366812,0.1112771527841687,0.621780614854272,0.3339627119458964,0.0026976359076797,0.0516633838415145,0.0489657479338347,0.021944099072633,0.0426020191489932,0.3339627119458964,1.1304255811317392,24.872854235409235,23.742428654277496,6.721198816402245,0.3423355525555733,0.3339627119458964,0.3396593029995589,0.5202622260976374,-0.040173296573454,0.1664541608578387
Chau_Phu,10.50915,105.265098,SA,T,15-07-2022,2.43,6000,0.0538349598646163,0.2941001057624817,0.2402651458978653,0.1664363646081515,0.1869051719065197,0.3339627119458964,0.0167373027652502,0.0725117325782775,0.0557744298130273,0.0382318641724331,0.2014326123638668,0.3339627119458964,1.5802501604900263,7.805156542854241,6.224906382364215,4.583482980044935,-0.2121255449685691,0.3105508217736653,0.3403507116919615,0.5211637947269758,-0.0401732965734541,0.1646650627185488
Chau_Phu,10.467721,105.192464,SA,D,15-07-2022,1.95,6400,0.0169359259307384,0.6278784275054932,0.6109425015747547,0.2144481394706028,0.2004316566034608,0.3339627119458964,0.0082188714295625,0.1141855269670486,0.105966655537486,0.0363899361608283,0.0261658877912655,0.3339627119458964,0.9946161638912476,46.363490042885246,45.368873878994,9.063072994031549,0.1715312505639889,0.3339627119458964,0.344804031679933,0.5218254737081522,-0.059185242121445,0.1827082582636623
Chau_Phu,10.494453,105.241281,SA,T,15-07-2022,4.3,6000,0.0236250516027212,0.3354943990707397,0.3118693474680185,0.1166749244023646,0.2194323379217904,0.3339627119458964,0.0017723768251016,0.08256546407938,0.0807930872542783,0.0253390826567608,0.1924892891931175,0.3339627119458964,1.6640364143061817,28.34908658266999,26.68505016836381,7.416280166268003,0.5024445842780553,0.3339627119458964,0.3413298171394656,0.5227599808996773,-0.0303544494720965,0.1735572372855493
Chau_Phu,10.535058,105.252744,SA,D,14-07-2022,3.3,6400,0.0533899888396263,0.8596712946891785,0.8062813058495522,0.1698923487630155,-0.0020479060008276,0.3898542972153651,0.0074824383482337,0.0981613919138908,0.0906789535656571,0.033237614048024,-0.0392567894230496,0.3898542972153651,1.338847431689928,29.232962581131726,27.8941151494418,6.989110175684375,0.5205910921830612,0.3898542972153651,0.3302859653553217,0.4998804178023566,-0.0401732965734541,0.1548463798402104
Chau_Phu,10.50203,105.222373,SA,T,15-07-2022,3.5,5500,0.0301933716982603,0.4449979960918426,0.4148046243935823,0.1257531287680779,0.0214870667988346,0.3339627119458964,0.0017537578241899,0.0706943497061729,0.0689405918819829,0.0306506396487488,0.2684633223373082,0.3339627119458964,0.7395493687666171,18.40282860588005,17.663279237113432,5.540485062142501,0.2557883893340522,0.3339627119458964,0.3467576273649236,0.5173021242976384,-0.0213381555153707,0.1691673142360668
Chau_Phu,10.48195,105.238448,SA,T,15-07-2022,2.0,6600,0.0173525661230087,0.4074212312698364,0.3900686651468277,0.0900480145854609,0.268469119901446,0.3339627119458964,0.0038871322758495,0.068068079650402,0.0641809473745524,0.0211197851957487,0.1619230497110663,0.3339627119458964,0.7437216546612689,11.320435033236334,10.576713378575066,5.013300306646883,0.047955821470351,0.3339627119458964,0.3449783292132156,0.5243167837881217,-0.0303544494720965,0.1771824389037374
Chau_Phu,10.476738,105.227333,SA,T,15-07-2022,4.0,6000,0.0168328359723091,0.3186133205890655,0.3017804846167564,0.1054534753784537,-0.0747960094572615,0.3339627119458964,0.00249017146416,0.0848756730556488,0.0823855015914887,0.0235546965185286,0.0437932833985193,0.3339627119458964,0.8072840931530606,88.59848951001874,87.79120541686568,11.613800482141594,0.1596707191508112,0.3339627119458964,0.3432911628018899,0.5175024921536064,-0.0286780593203693,0.176784185169938
Chau_Phu,10.492098,105.216926,SA,T,15-07-2022,3.0,5500,0.0095517057925462,1.287698745727539,1.2781470399349928,0.173873694746622,-0.0953443693792223,0.3339627119458964,0.0030831526964902,0.1054171621799469,0.1023340094834566,0.0292997019298906,0.1896098183176608,0.3339627119458964,1.197659503938792,22.801800278351624,21.604140774412837,5.251627076454463,0.0567304271512908,0.3339627119458964,0.3458582708571022,0.5150393909517952,-0.0213381555153707,0.1701480314476194
Chau_Phu,10.485917,105.210104,SA,T,15-07-2022,5.0,6000,0.0121284071356058,0.2936661839485168,0.281537776812911,0.0918133950659206,-0.1628476378100838,0.3339627119458964,0.0042080115526914,0.0927015393972396,0.0884935278445482,0.0280762240623257,-0.1698351431824837,0.3339627119458964,1.0696262336817608,22.090042719893965,21.02041648621221,4.371803591543166,-0.141092764577511,0.3339627119458964,0.3458740644555484,0.5162225734119041,-0.0213381555153707,0.1705320498004643
